Year,Availability,Price_Low_USD,Price_High_USD,Notes,Source_History,Source_CPI_Context,Source_ValueMenu_Anchors,Source_RecentPricing_Anchors
1980,Available,0.75,1.25,Estimated (limited documentation; early full-size version).,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
1981,Available,0.80,1.30,Estimated (limited documentation; early full-size version).,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
1982,Available,0.85,1.35,Estimated (limited documentation; early full-size version).,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
1983,Available,0.90,1.40,Estimated (limited documentation; early full-size version).,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
1984,Not Available,,,McChicken not sold in the U.S. per cited history.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
1985,Not Available,,,McChicken not sold in the U.S. per cited history.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
1986,Not Available,,,McChicken not sold in the U.S. per cited history.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
1987,Not Available,,,McChicken not sold in the U.S. per cited history.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
1988,Available,0.99,1.49,Estimated (full-size version era; limited documentation).,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
1989,Available,1.04,1.54,Estimated (full-size version era; limited documentation).,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
1990,Available,1.09,1.59,Estimated (full-size version era; limited documentation).,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
1991,Available,1.14,1.64,Estimated (full-size version era; limited documentation).,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
1992,Available,1.19,1.69,Estimated (full-size version era; limited documentation).,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
1993,Available,1.24,1.74,Estimated (full-size version era; limited documentation).,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
1994,Available,1.29,1.79,Estimated (full-size version era; limited documentation).,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
1995,Available,1.34,1.84,Estimated (full-size version era; limited documentation).,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
1996,Available,1.29,1.89,"Estimated; item removed from U.S. menus on Sep 26, 1996 (partial-year availability).",https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
1997,Available,0.89,1.49,Estimated; phased back in gradually over later months of 1997 (partial-year availability).,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
1998,Available,0.99,1.59,Estimated; smaller Cajun/then renamed McChicken around ~2001.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
1999,Available,0.99,1.59,Estimated; smaller Cajun/then renamed McChicken around ~2001.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
2000,Available,0.99,1.59,Estimated; smaller Cajun/then renamed McChicken around ~2001.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
2001,Available,0.99,1.59,Estimated; smaller Cajun/then renamed McChicken around ~2001.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,,
2002,Available,0.99,1.49,Estimated; widely associated with $1 value menu era.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,https://www.complex.com/pop-culture/a/joshua-espinoza/mcdonalds-dollar-menu;https://www.theimpulsivebuy.com/wordpress/2005/04/15/eating-the-mcdonalds-dollar-menu-in-one-sitting/,
2003,Available,0.99,1.49,Estimated; widely associated with $1 value menu era.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,https://www.complex.com/pop-culture/a/joshua-espinoza/mcdonalds-dollar-menu;https://www.theimpulsivebuy.com/wordpress/2005/04/15/eating-the-mcdonalds-dollar-menu-in-one-sitting/,
2004,Available,0.99,1.49,Estimated; widely associated with $1 value menu era.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,https://www.complex.com/pop-culture/a/joshua-espinoza/mcdonalds-dollar-menu;https://www.theimpulsivebuy.com/wordpress/2005/04/15/eating-the-mcdonalds-dollar-menu-in-one-sitting/,
2005,Available,0.99,1.49,Estimated; widely associated with $1 value menu era.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,https://www.complex.com/pop-culture/a/joshua-espinoza/mcdonalds-dollar-menu;https://www.theimpulsivebuy.com/wordpress/2005/04/15/eating-the-mcdonalds-dollar-menu-in-one-sitting/,
2006,Available,0.99,1.49,Estimated; widely associated with $1 value menu era.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,https://www.complex.com/pop-culture/a/joshua-espinoza/mcdonalds-dollar-menu;https://www.theimpulsivebuy.com/wordpress/2005/04/15/eating-the-mcdonalds-dollar-menu-in-one-sitting/,
2007,Available,0.99,1.49,Estimated; widely associated with $1 value menu era.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,https://www.complex.com/pop-culture/a/joshua-espinoza/mcdonalds-dollar-menu;https://www.theimpulsivebuy.com/wordpress/2005/04/15/eating-the-mcdonalds-dollar-menu-in-one-sitting/,
2008,Available,0.99,1.49,Estimated; widely associated with $1 value menu era.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,https://www.complex.com/pop-culture/a/joshua-espinoza/mcdonalds-dollar-menu;https://www.theimpulsivebuy.com/wordpress/2005/04/15/eating-the-mcdonalds-dollar-menu-in-one-sitting/,
2009,Available,0.99,1.49,Estimated; widely associated with $1 value menu era.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,https://www.complex.com/pop-culture/a/joshua-espinoza/mcdonalds-dollar-menu;https://www.theimpulsivebuy.com/wordpress/2005/04/15/eating-the-mcdonalds-dollar-menu-in-one-sitting/,
2010,Available,0.99,1.49,Estimated; widely associated with $1 value menu era.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,https://www.complex.com/pop-culture/a/joshua-espinoza/mcdonalds-dollar-menu;https://www.theimpulsivebuy.com/wordpress/2005/04/15/eating-the-mcdonalds-dollar-menu-in-one-sitting/,
2011,Available,0.99,1.49,Estimated; widely associated with $1 value menu era.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,https://www.complex.com/pop-culture/a/joshua-espinoza/mcdonalds-dollar-menu;https://www.theimpulsivebuy.com/wordpress/2005/04/15/eating-the-mcdonalds-dollar-menu-in-one-sitting/,
2012,Available,0.99,1.49,Estimated; widely associated with $1 value menu era.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,https://www.complex.com/pop-culture/a/joshua-espinoza/mcdonalds-dollar-menu;https://www.theimpulsivebuy.com/wordpress/2005/04/15/eating-the-mcdonalds-dollar-menu-in-one-sitting/,
2013,Available,0.99,1.49,Estimated; widely associated with $1 value menu era.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,https://www.complex.com/pop-culture/a/joshua-espinoza/mcdonalds-dollar-menu;https://www.theimpulsivebuy.com/wordpress/2005/04/15/eating-the-mcdonalds-dollar-menu-in-one-sitting/,
2014,Available,1.00,1.69,Estimated; reported as a $1-menu staple in 2014.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,https://www.complex.com/pop-culture/a/joshua-espinoza/mcdonalds-dollar-menu;https://www.theimpulsivebuy.com/wordpress/2005/04/15/eating-the-mcdonalds-dollar-menu-in-one-sitting/,https://financebuzz.com/fast-food-prices-vs-inflation
2015,Available,1.00,1.79,Estimated; still commonly offered as a $1 value-menu item in parts of this period.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,https://www.complex.com/pop-culture/a/joshua-espinoza/mcdonalds-dollar-menu;https://www.theimpulsivebuy.com/wordpress/2005/04/15/eating-the-mcdonalds-dollar-menu-in-one-sitting/,https://financebuzz.com/fast-food-prices-vs-inflation
2016,Available,1.00,1.79,Estimated; still commonly offered as a $1 value-menu item in parts of this period.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,https://www.complex.com/pop-culture/a/joshua-espinoza/mcdonalds-dollar-menu;https://www.theimpulsivebuy.com/wordpress/2005/04/15/eating-the-mcdonalds-dollar-menu-in-one-sitting/,https://financebuzz.com/fast-food-prices-vs-inflation
2017,Available,1.00,1.99,Estimated; still commonly offered as a $1 value-menu item in parts of this period.,https://en.wikipedia.org/wiki/McChicken,https://www.bls.gov/cpi/tables/historical-cpi-u-201710.pdf,https://www.complex.com/pop-culture/a/joshua-espinoza/mcdonalds-dollar-menu;https://www.theimpulsivebuy.com/wordpress/2005/04/15/eating-the-mcdonalds-dollar-menu-in-one-sitting/,https://financebuzz.com/fast-food-prices-vs-inflation
